nodes	links	mat-reg	mat-red	star-reg	star-red
120	3.0	60231.6	50426.12	61216.6666666667	51480.04
120	6	73308.04	62936.74	71651.3265306122	62976.8
120	12	83292.64	75931.2	80836.98	77110.0
120	24	89208.74	84794.18	87424.7	83616.64
120	48	93010.68	90865.94	92371.5	89786.92
120	96	95178.28	93964.5	94888.66	93833.88
240	3.0	120773.08	101206.66	117913.42	106915.604166667
240	6	145468.22	125921.68	145109.770833333	125866.76
240	12	166482.8	151973.04	160095.2	149892.48
240	24	178932.08	170509.26	174937.14	170665.285714286
240	48	184760.62	180196.42	182762.76	178657.48
240	96	188722.52	186486.06	187880.52	185529.68
480	3.0	242538.82	201332.76	250981.638297872	221080.0
480	6	290887.02	252123.0	296114.574468085	274252.891304348
480	12	332883.4	301903.02	321131.62	304866.93877551
480	24	357003.6	338689.98	349072.4	333650.7
480	48	371381.98	361390.78	366789.04	358497.12
480	96	377233.28	371969.84	375261.6	370817.02
960	3.0	484123.88	402871.2	534603.568181818	464507.568181818
960	6	583713.72	506121.8	634977.045454545	547220.02173913
960	12	666085.44	607061.08	667264.0625	650812.434782609
960	24	713717.18	677878.58	696339.38	666848.34
960	48	739852.72	721372.46	731336.92	711998.42
960	96	753300.84	743644.42	749367.66	739948.22
