nodes	links	mat-reg	mat-red	pcd-red	star-reg	star-red	total	
120	3.0	0	37	0	13	50	
120	6	0	27	0	23	50	
120	12	0	21	0	29	50	
120	24	0	17	1	32	50	
120	48	0	10	2	38	50	
120	96	0	21	0	28	50	
240	3.0	0	35	0	15	50	
240	6	0	26	0	24	50	
240	12	0	13	0	37	50	
240	24	0	9	0	41	50	
240	48	0	12	2	36	50	
240	96	0	16	0	34	50	
480	3.0	0	35	0	15	50	
480	6	0	26	0	24	50	
480	12	0	9	0	41	50	
480	24	0	4	0	46	50	
480	48	0	11	1	38	50	
480	96	0	15	0	35	50	
960	3.0	0	44	0	6	50	
960	6	0	21	0	29	50	
960	12	0	8	0	42	50	
960	24	0	2	0	48	50	
960	48	0	1	0	49	50	
960	96	0	7	0	43	50	
