nodes	links	mat-reg	mat-red	star-reg	star-red	
120	3.0	9.66	14.22	55.1666666666667	55.68	
120	6	10.66	15.3	50.1020408163265	55.34	
120	12	12.4	17.24	48.74	48.8775510204082	
120	24	14.78	18.96	41.86	47.06	
120	48	16.94	21.32	38.62	41.5	
120	96	19.56	22.8	37.54	43.18	
240	3.0	10.58	14.68	60.06	60.7916666666667	
240	6	12.62	16.66	58.5208333333333	59.4	
240	12	14.16	17.92	50.86	55.06	
240	24	16.42	20.2	49.0	51.9591836734694	
240	48	17.9	21.6	43.36	46.84	
240	96	19.72	23.94	41.0	45.8	
480	3.0	12.14	15.64	68.1489361702128	70.8478260869565	
480	6	13.36	17.78	66.3617021276596	71.3478260869565	
480	12	15.12	19.22	60.86	65.1836734693878	
480	24	17.36	21.54	53.6	57.1	
480	48	19.06	22.68	48.94	56.74	
480	96	21.22	25.58	46.1	50.22	
960	3.0	13.04	17.44	73.7954545454545	82.1136363636364	
960	6	14.42	19.26	73.4090909090909	76.5	
960	12	16.7	20.64	67.2083333333333	71.4782608695652	
960	24	17.96	22.7	61.16	63.16	
960	48	20.4	24.38	57.42	57.66	
960	96	22.24	26.32	51.74	55.1	
